design_id,element_id,name,variant_id,r,g,b,is_standard,bl_id,rb_id
98138,4646844,White,1,255,255,255,true,1,15
98138,6284572,White,2,255,255,255,true,1,15
98138,6564903,White,3,255,255,255,true,1,15
98138,4650260,Light Bluish Gray,1,175,181,199,true,86,72
98138,6284071,Light Bluish Gray,2,175,181,199,true,86,72
98138,6222416,Dark Bluish Gray,1,89,93,96,true,85,71
98138,6284596,Dark Bluish Gray,2,89,93,96,true,85,71
98138,6139403,Black,1,33,33,33,true,11,0
98138,6284070,Black,2,33,33,33,true,11,0
98138,6028132,Dark Red,1,106,14,21,true,59,19
98138,6284585,Dark Red,2,106,14,21,true,59,19
98138,6063445,Red,1,179,0,6,true,5,4
98138,6284574,Red,2,179,0,6,true,5,4
98138,6311436,Coral,1,255,129,114,true,220,1056
98138,6322813,Dark Brown,1,80,55,47,true,120,8
98138,6133854,Reddish Brown,1,130,66,42,true,88,70
98138,6284586,Reddish Brown,2,130,66,42,true,88,70
98138,6322841,Dark Tan,1,184,152,105,true,69,28
98138,6139649,Tan,1,238,217,164,true,2,2
98138,6284573,Tan,2,238,217,164,true,2,2
98138,6056616,Light Nougat,1,254,204,176,true,90,92
98138,6315196,Light Nougat,2,254,204,176,true,90,92
98138,6343472,Nougat,1,255,175,125,true,28,28
98138,6055383,Medium Nougat,1,227,160,91,true,150,1004
98138,6284589,Medium Nougat,2,227,160,91,true,150,1004
98138,6322840,Dark Orange,1,179,84,8,true,68,25
98138,6009459,Orange,1,255,126,20,true,4,25
98138,6284582,Orange,2,255,126,20,true,4,25
98138,6322822,Bright Light Orange,1,255,199,0,true,31,105
98138,6070714,Yellow,1,255,224,1,true,3,14
98138,6284577,Yellow,2,255,224,1,true,3,14
98138,6343806,Bright Light Yellow,1,255,240,140,true,35,103
98138,6376825,Neon Yellow,1,255,252,0,true,16,226
98138,6284598,Yellowish Green,1,231,242,167,true,158,326
98138,6057878,Lime,1,196,224,0,true,34,27
98138,6284583,Lime,2,196,224,0,true,34,27
98138,6047015,Olive Green,1,171,169,83,true,155,323
98138,6284595,Olive Green,2,171,169,83,true,155,323
98138,6397157,Dark Green,1,46,85,67,true,80,288
98138,6514202,Dark Green,2,46,85,67,true,80,288
