set_id,design_id,element_id,count
marilyn_48x48,98138,6284070,655
marilyn_48x48,98138,6284587,598
marilyn_48x48,98138,6284596,141
marilyn_48x48,98138,6322821,605
marilyn_48x48,98138,6322816,47
marilyn_48x48,98138,6322819,603
marilyn_48x48,98138,6284577,604
beatles_48x48,98138,6284070,710
beatles_48x48,98138,6322823,58
beatles_48x48,98138,6322822,66
beatles_48x48,98138,6284584,123
beatles_48x48,98138,6284596,152
beatles_48x48,98138,6322813,560
beatles_48x48,98138,6322840,87
beatles_48x48,98138,6322841,144
beatles_48x48,98138,6284071,53
beatles_48x48,98138,6284589,30
beatles_48x48,98138,6284582,76
beatles_48x48,98138,6284586,255
beatles_48x48,98138,6322842,53
beatles_48x48,98138,6284573,288
beatles_48x48,98138,6284572,157
mickey_48x48,98138,6284070,692
mickey_48x48,98138,6284584,411
mickey_48x48,98138,6284596,82
mickey_48x48,98138,6322813,79
mickey_48x48,98138,6284585,99
mickey_48x48,98138,6284071,61
mickey_48x48,98138,6284574,231
mickey_48x48,98138,6284573,34
mickey_48x48,98138,6284572,881
world_map_128x80,98138,6353793,623
world_map_128x80,98138,6322822,619
world_map_128x80,98138,6311436,617
world_map_128x80,98138,6284584,410
world_map_128x80,98138,6311437,1934
world_map_128x80,98138,6284583,1110
world_map_128x80,98138,6322819,1660
world_map_128x80,98138,6284582,626
world_map_128x80,98138,6284573,750
elvis_48x48,98138,6284070,620
elvis_48x48,98138,6284584,163
elvis_48x48,98138,6284596,54
elvis_48x48,98138,6322813,224
elvis_48x48,98138,6322840,191
elvis_48x48,98138,6284585,349
elvis_48x48,98138,6284071,28
elvis_48x48,98138,6315196,381
elvis_48x48,98138,6284602,245
elvis_48x48,98138,6284589,190
elvis_48x48,98138,6343472,272
elvis_48x48,98138,6284574,83
elvis_48x48,98138,6284586,244
elvis_48x48,98138,6322842,182
elvis_48x48,98138,6284573,109
elvis_48x48,98138,6284572,71
art_project_48x48,98138,6284070,269
art_project_48x48,98138,6353793,156
art_project_48x48,98138,6322822,170
art_project_48x48,98138,6343806,122
art_project_48x48,98138,6284587,60
art_project_48x48,98138,6322824,130
art_project_48x48,98138,6284584,689
art_project_48x48,98138,6398079,336
art_project_48x48,98138,6284583,176
art_project_48x48,98138,6284589,300
art_project_48x48,98138,6284582,141
art_project_48x48,98138,6284574,198
art_project_48x48,98138,6284586,321
art_project_48x48,98138,6284573,259
art_project_48x48,98138,6284572,500
art_project_48x48,98138,6284577,315
